Company name,Website,Industry,LinkedIn URL,Employees,Industry Tag,Founder
HVAC Services - Air Options,https://www.airoptions.co.uk/,HVAC,https://www.linkedin.com/company/air-options-hvac,18,HVAC - Commercial,HVAC Founder (Mocked)
Home - UKHVAC,https://ukhvac.co.uk/,HVAC,https://www.linkedin.com/company/the-unico-system-uk,9,HVAC - Commercial,Home Founder (Mocked)
HVAC Pros – Professional HVAC Experts,https://hvacpros.co.uk/,HVAC,https://www.linkedin.com/company/hvacpros,12,HVAC - Commercial,HVAC Founder (Mocked)
HALO HVAC: Energy Efficient HVAC Solutions,https://www.halohvac.co.uk/,HVAC,https://www.linkedin.com/company/halo-hvac,6,HVAC - Commercial,HALO Founder (Mocked)
HVAC Services - Gibbons Group,https://www.gibbonsgroup.co.uk/products-services/hvac-services/,HVAC,https://www.linkedin.com/company/gibbons-engineering-group-limited,17,HVAC - Commercial,HVAC Founder (Mocked)
Top 10 Plumbing Companies in the UK - I Do Business,https://www.idobusiness.co.uk/plumbing-companies/,Plumbing,https://www.linkedin.com/company/aphc,19,Plumbing - Domestic,Top Founder (Mocked)
"City Plumbing | Plumbing Supplies, Heating …",https://www.cityplumbing.co.uk/,Plumbing,https://www.linkedin.com/company/plumbing-tecnology-sl,50,Plumbing - Domestic,City Founder (Mocked)
"British Bathroom Company - All Your Bathroom, …",https://www.britishbathroomcompany.co.uk/,Plumbing,https://www.linkedin.com/company/britishbathroomcompany,50,Plumbing - Domestic,British Founder (Mocked)
Plumbyng.co.uk | Find a Reliable Plumber Near You.,https://plumbyng.co.uk/,Plumbing,https://www.linkedin.com/company/plumbing-tecnology-sl,50,Plumbing - Domestic,Plumbyng.co.uk Founder (Mocked)
Established Plumbing Contractors for New Build …,https://www.ultraplumbing.co.uk/,Plumbing,https://www.linkedin.com/company/stewarts-plumbing-&-heating,26,Plumbing - Domestic,Established Founder (Mocked)
"UK Lift & Escalator Company – Lift maintenance, …",https://ukliftandescalator.co.uk/,Lift Maintenance,https://www.linkedin.com/company/uk-lift-&-escalator-company-ltd,36,Lift Maintenance,UK Founder (Mocked)
Lift Company | UK Lift Repairs & Maintenance,https://deltronlifts.co.uk/,Lift Maintenance,https://www.linkedin.com/company/trident-lifting-solutions-ltd/?originalSubdomain=uk,50,Lift Maintenance,Lift Founder (Mocked)
Lift Maintenance and Repairs | MW Lift Services | Call us,https://www.mwliftservices.co.uk/,Lift Maintenance,https://www.linkedin.com/company/tydallifts,10,Lift Maintenance,Lift Founder (Mocked)
Lifts Repairs | National Lift Maintenance,https://www.pickeringslifts.co.uk/lifts/maintenance-servicing/,Lift Maintenance,https://www.linkedin.com/company/tydallifts,10,Lift Maintenance,Lifts Founder (Mocked)
Summit Elevators – Keeping your lifts running smoothly,https://summitelevators.co.uk/,Lift Maintenance,https://www.linkedin.com/company/summit-elevators-uk,21,Lift Maintenance,Summit Founder (Mocked)
Lift Maintenance & Servicing - Deltron Lifts,https://deltronlifts.co.uk/lift-maintenance-service/,Lift Maintenance,https://www.linkedin.com/company/liftinsight,10,Lift Maintenance,Lift Founder (Mocked)
